id,species,margin1,margin2,margin3,margin4,margin5,margin6,margin7,margin8,margin9,margin10,margin11,margin12,margin13,margin14,margin15,margin16,margin17,margin18,margin19,margin20,margin21,margin22,margin23,margin24,margin25,margin26,margin27,margin28,margin29,margin30,margin31,margin32,margin33,margin34,margin35,margin36,margin37,margin38,margin39,margin40,margin41,margin42,margin43,margin44,margin45,margin46,margin47,margin48,margin49,margin50,margin51,margin52,margin53,margin54,margin55,margin56,margin57,margin58,margin59,margin60,margin61,margin62,margin63,margin64,shape1,shape2,shape3,shape4,shape5,shape6,shape7,shape8,shape9,shape10,shape11,shape12,shape13,shape14,shape15,shape16,shape17,shape18,shape19,shape20,shape21,shape22,shape23,shape24,shape25,shape26,shape27,shape28,shape29,shape30,shape31,shape32,shape33,shape34,shape35,shape36,shape37,shape38,shape39,shape40,shape41,shape42,shape43,shape44,shape45,shape46,shape47,shape48,shape49,shape50,shape51,shape52,shape53,shape54,shape55,shape56,shape57,shape58,shape59,shape60,shape61,shape62,shape63,shape64,texture1,texture2,texture3,texture4,texture5,texture6,texture7,texture8,texture9,texture10,texture11,texture12,texture13,texture14,texture15,texture16,texture17,texture18,texture19,texture20,texture21,texture22,texture23,texture24,texture25,texture26,texture27,texture28,texture29,texture30,texture31,texture32,texture33,texture34,texture35,texture36,texture37,texture38,texture39,texture40,texture41,texture42,texture43,texture44,texture45,texture46,texture47,texture48,texture49,texture50,texture51,texture52,texture53,texture54,texture55,texture56,texture57,texture58,texture59,texture60,texture61,texture62,texture63,texture64
17,Zelkova_Serrata,19531,3125,1953,5859,3906,13672,33203,0,11719,42969,15625,17578,19531,9766,15625,0,46875,1953,25391,11719,25391,21484,0,29297,11719,25391,15625,11719,3906,13672,7812,1953,7812,0,27344,21484,1953,17578,15625,1953,1953,9766,35156,1953,7812,11719,27344,52734,3906,50781,13672,7812,60547,1953,23438,7812,9766,3906,0,29297,1953,33203,0,13672,68312,72854,65574,63846,6164,59575,57458,52909,50956,46448,45286,43113,40237,41415,41329,3994,42552,39485,43168,43598,45652,4992,49405,54001,55592,61326,61183,67897,72095,79122,84477,91421,98654,98983,91812,84353,78465,71291,67115,60264,57611,57665,54048,49674,48368,42724,44789,4076,39869,38579,35283,38719,3828,4009,43154,44212,49357,52804,56282,61596,65624,69205,69837,68445,11719,7812,293,21484,4883,3906,54688,4883,19531,9766,14648,0,977,8789,0,0,4883,0,83008,6836,0,7812,293,0,1953,5859,12598,0,32227,4883,6543,0,0,11719,4883,0,977,18555,52734,23438,29297,0,37109,99609,3906,3906,9766,0,7812,22461,0,0,3906,11328,9766,0,0,293,24414,0,0,6836,0,4883
18,Betula_Austrosinensis,1953,1953,23438,25391,76172,0,29297,0,5859,15625,1953,3906,1953,3906,11719,0,13672,0,3906,9766,0,3906,0,5859,11719,37109,15625,37109,11719,46875,48828,74219,9766,0,3906,3906,0,15625,19531,1953,66406,5859,0,46875,3906,37109,3906,1953,60547,1953,1953,5859,56641,29297,3125,11719,1953,3906,5859,39062,0,0,3906,1953,57722,59985,56981,62147,63788,63385,68389,72064,75631,79975,8482,85966,8882,9171,9021,86096,87104,81495,81892,79097,73755,73502,69446,66273,63344,64421,6259,55657,5123,47475,46171,50195,51679,53869,56972,60371,64344,68778,73164,77718,8285,86167,88243,89297,94779,10122,96459,90769,87987,83107,81505,75615,71108,67562,64014,60783,59265,56859,54594,56254,5502,55492,54682,55014,0,293,22461,0,78125,977,15625,52734,977,0,53711,4883,4883,23438,0,4883,977,0,293,14648,0,60547,13672,0,1953,1953,0,18555,50781,5859,54688,11719,0,8789,13672,0,0,42969,0,1953,0,5859,977,0,8789,36133,41992,25391,15625,64453,80078,29297,1953,27344,13672,3906,14648,3906,36133,0,0,12695,5859,0
20,Quercus_Pontica,15625,11719,41016,3906,23438,15625,19531,0,9766,15625,3906,46875,17578,13672,35156,0,3906,5859,13672,7812,54688,7812,0,9766,21484,3906,7812,19531,11719,17578,15625,11719,5859,0,5859,0,21484,58594,15625,17578,3906,3906,13672,23438,5859,17578,72266,52734,29297,11719,11719,1953,25391,13672,27344,9766,17578,0,9766,7812,0,19531,3906,5859,10746,10464,99005,1016,93829,93526,94002,94979,93513,8886,91468,98246,10286,11046,11772,11952,12833,13635,14174,14739,15188,15882,15731,17,18298,17988,16558,15588,15594,15175,14921,13944,13357,12527,12212,11202,10265,95125,86477,78823,78943,74197,73851,79243,80406,8726,98414,10851,11936,12509,13455,14514,15223,16336,16715,17526,17192,16648,16091,15496,14415,13543,12571,11678,10742,9766,0,0,11523,2832,14648,75195,26367,0,0,21484,10742,27344,0,0,4883,0,12695,29297,0,1953,92773,0,0,0,0,0,39062,7812,51758,0,0,8789,6836,0,0,71289,0,13672,0,5859,0,0,10645,1953,29297,0,20508,26367,0,0,0,9766,3906,0,86914,0,13672,0,0,0,11719,293
21,Quercus_Afares,11719,11719,54688,17578,7812,9766,11719,7812,25391,15625,27344,9766,25391,25391,11719,0,21484,19531,7812,19531,52734,3906,0,0,5859,21484,11719,3906,54688,9766,0,0,17578,1953,11719,27344,25391,41016,9766,3906,3906,5859,17578,7812,29297,0,35156,13672,3906,54688,39062,0,17578,1953,5859,0,5859,15625,39062,11719,0,3906,35156,7812,5281,47914,39916,43373,51953,57404,57669,52236,59513,61642,67375,68336,64605,63176,55626,54877,59927,56629,52405,44323,41361,49196,53316,49397,44814,39497,32164,24996,25786,32297,39856,47019,53653,55427,56458,55408,50487,56078,56097,55273,53939,53931,56312,63706,71672,69328,61819,55483,53495,53252,55457,56135,5302,55718,53874,56107,54969,48106,40944,32981,36253,4257,48909,5094,16309,12695,4883,4883,977,9766,83008,293,21484,91797,0,0,12695,11719,0,0,5859,0,70312,1953,0,0,3125,0,4883,0,2832,0,8789,11719,8789,0,4883,27344,8789,0,0,2832,49805,5957,5859,0,14648,17578,25391,6836,17578,0,3906,4883,0,0,0,57617,293,0,15625,0,15625,0,0,0,18555,22461
22,Quercus_Coccifera,11719,7812,11133,27344,23438,39062,13672,0,1953,13672,5859,9766,15625,1953,25391,0,7812,3125,1953,19531,9766,0,0,1953,1953,25391,0,25391,21484,27344,1953,5859,29297,0,1953,3906,29297,52734,35156,9766,9766,5859,19531,13672,13672,15625,17578,66406,0,13672,13672,0,21484,3906,35156,0,25391,7812,33203,0,0,0,3125,0,16798,20211,23258,2345,23645,26376,22941,21393,17732,16032,19423,21342,18081,14644,10651,73851,10649,14869,18193,21907,19628,16003,18937,15219,11454,85853,92863,11819,14591,17278,1814,1644,16653,15425,16379,18628,20793,20905,21079,21546,242,25776,22239,19155,1701,161,16991,1444,11452,10959,13145,16409,17492,17222,13469,95907,76032,1133,15847,20257,21434,24024,20272,1659,5859,4883,0,11719,977,977,977,0,14648,12695,11914,0,0,12695,21582,977,10742,0,24414,977,0,12695,5859,12695,293,46875,293,0,10742,977,8789,0,23438,977,1953,0,36133,1953,4883,5859,4883,6836,5859,977,0,977,3906,0,19531,19531,92773,0,24414,4883,977,1953,0,3418,7812,38086,0,89844,23438,1953
25,Fagus_Sylvatica,27344,25391,66406,7812,3906,52734,3125,0,3906,39062,3906,1953,625,1953,15625,0,23438,19531,7812,19531,13672,0,0,0,1953,23438,1953,5859,35156,13672,1953,0,17578,3906,27344,17578,3125,54688,19531,7812,0,9766,9766,11719,9766,5859,19531,41016,0,3906,3125,0,25391,0,41016,0,27344,3906,27344,0,0,0,41016,0,58502,60156,61729,62419,64266,677,71016,74692,7924,8285,85884,90508,9755,92325,85058,81323,77788,74048,72043,69809,67211,64573,62441,61276,59752,60119,58578,55963,55733,55659,55746,58098,60351,60879,62439,64071,67414,70382,70221,74985,75229,79867,79604,81788,84158,85674,85997,86467,81483,80832,77635,75011,70116,68849,66612,6472,61631,5875,57555,56521,54255,54515,55388,57758,3906,293,3906,47852,4883,0,3906,977,293,33203,977,977,0,0,0,0,3906,0,25391,3906,0,0,977,14648,2832,11719,11914,0,10742,293,5859,0,45898,5859,977,0,13672,293,44922,26367,23828,0,32227,10156,6836,7812,4883,5859,977,7812,0,0,29297,19531,8789,0,4883,4883,9766,1953,0,3906,0,36133
26,Phildelphus,9766,625,33203,29297,11719,44922,5859,0,9766,17578,39062,1953,48828,1953,3906,0,23438,35156,23438,11719,3906,0,0,0,0,29297,0,21484,39062,11719,0,0,35156,0,17578,3125,27344,5859,3906,3906,7812,39062,1953,5859,41016,0,3906,0,0,0,42969,1953,3125,1953,0,0,13672,54688,50781,27344,0,1953,27344,1953,54346,5874,61239,55249,49495,48382,45023,42332,39813,38291,3639,33783,32571,30971,28354,2835,27083,28898,28418,29493,30113,31219,3498,36703,41103,43367,47035,51308,5402,56992,62518,66505,70122,70547,66343,62659,59318,56256,52397,47942,45808,41396,3887,36101,33232,3367,29797,28429,28331,28509,29669,27594,29338,30786,31973,33975,36526,39145,41206,43716,46387,47989,49526,51708,0,20508,0,66406,0,3906,4883,1953,72266,12695,0,0,14648,77148,0,9766,27344,1953,5957,20508,0,0,42969,46875,3125,3906,0,0,3125,18555,25391,0,19531,0,14648,0,977,0,10742,46875,8789,5859,4883,0,2832,0,25391,0,36133,13672,0,16602,2832,35156,0,0,4883,0,68359,0,0,0,36133,977
27,Acer_Palmatum,0,0,1953,29297,11133,0,0,0,29297,0,0,0,0,23438,1953,0,5859,0,11719,3906,0,0,19531,17578,11719,11719,15625,41016,0,9766,35156,50781,0,3906,0,0,3906,1953,3906,7812,17969,7812,0,21484,0,29297,1953,0,54688,0,0,9766,9766,35156,0,0,0,7812,5859,60547,3906,7812,1953,3906,11448,10666,99556,92949,87691,84537,81038,78007,76342,74886,73552,72681,71813,7155,71266,70683,69732,69564,6992,70635,7099,721,72663,73689,7597,78228,79956,8285,85514,88472,91699,94766,9681,96525,9356,89393,85251,81467,7849,76042,74401,72258,70355,68658,6727,66767,66309,66297,67193,67734,69616,71134,73405,75179,77728,79007,80324,83197,85598,87554,9023,94291,10191,10989,3906,0,7812,0,13281,0,977,26367,0,0,0,37793,0,0,0,0,0,0,977,1953,0,0,68359,0,1953,0,977,17578,4883,0,37109,0,0,8789,0,0,0,55664,3906,0,0,0,0,0,39062,51758,7812,37109,0,0,0,0,0,977,12695,0,79102,0,0,0,0,0,0,19531
29,Quercus_Pubescens,1953,0,15625,3125,11719,0,21484,1953,5859,13672,3906,15625,15625,7812,23438,0,21484,7812,25391,7812,21484,23438,0,54688,3906,19531,5859,9766,23438,9766,9766,11719,7812,1953,3906,9766,15625,39062,19531,5859,3906,11719,48828,9766,25391,9766,15625,91797,1953,15625,21484,9766,58594,3906,44922,5859,19531,9766,33203,11719,1953,9766,3906,1953,80172,89566,99061,10914,11911,12937,14046,15121,15837,16011,1712,16534,15476,14785,13878,12898,12029,11044,10162,91831,83085,74433,6528,57472,51219,45783,42639,4312,45663,52665,59154,67868,76725,85704,9495,10535,11515,12541,13664,14728,15893,16998,17382,16501,15532,14527,13523,12515,11526,10522,96203,86231,77303,69933,62031,55815,50261,47072,46388,48311,51867,57303,63453,71501,0,70312,0,89844,0,53711,3906,0,9766,32227,1953,0,53711,0,0,0,13477,1953,36133,41016,0,0,42969,32227,9766,5859,0,0,3906,45898,13672,0,22461,0,7812,0,6836,0,6836,75195,8789,3906,10742,0,9766,0,48828,0,1953,977,0,0,41016,4883,0,0,1953,5859,49805,0,0,6836,0,1953
30,Populus_Adenopoda,5859,27344,17578,41016,7812,17578,46875,1953,0,44922,1953,1953,23438,1953,9766,0,13672,23438,7812,37109,9766,1953,0,1953,0,50781,0,19531,35156,66406,3906,0,15625,0,15625,9766,46875,11719,9766,13672,3906,19531,9766,37109,19531,3906,5859,13672,1953,9766,15625,0,35156,0,33203,5859,3125,15625,48828,3906,7812,0,3125,1953,51503,51953,51556,52363,51651,51191,52359,53264,53819,54405,56957,64802,68027,61605,61918,5985,59864,59589,59567,58303,57875,57413,56424,54164,5278,50268,48708,49005,48833,47306,49531,50123,50385,52209,52446,51332,52845,55169,54291,56654,56972,56878,58357,60411,61918,66874,63627,63124,61035,61204,58189,58544,58385,56583,55163,55777,54944,54367,51518,52961,53159,53678,5223,53059,0,1953,0,0,0,0,0,0,0,0,19531,0,0,0,8789,0,0,0,16602,0,0,977,293,10742,0,30273,0,0,1953,0,19531,0,0,0,0,0,47852,0,0,0,0,0,0,0,0,0,0,0,0,1953,15625,0,1953,20508,0,977,0,20508,1953,33301,0,16992,0,0
31,Quercus_Trojana,19531,19531,64453,25391,7812,5859,23438,0,5859,3906,11719,21484,46875,19531,21484,0,9766,15625,5859,9766,66406,0,0,0,21484,9766,1953,11719,37109,7812,9766,5859,15625,0,1953,15625,27344,44922,11719,7812,0,13672,29297,9766,27344,5859,66406,35156,9766,7812,21484,0,23438,1953,5859,13672,11719,23438,17578,1953,0,0,39062,0,52263,50513,50904,52032,54151,57075,61054,65796,70921,77078,83215,90377,97629,1059,11309,11756,12649,1295,12005,11622,10939,10324,97031,91779,86384,81244,75158,69405,64494,60184,55652,5233,50454,48331,4782,48362,51577,54347,58756,63797,70019,76264,80724,85374,91543,96751,10156,1059,11001,11391,11764,11233,10711,99953,93292,8703,82764,77494,71389,66404,61635,58601,5492,52061,5859,3906,0,2832,0,11719,10742,0,26367,17676,5859,0,5859,3906,977,0,9766,977,1582,4883,0,0,8789,12695,9766,35156,1953,0,293,4883,7812,1953,98633,0,3906,0,37109,0,17578,13867,9766,0,6836,0,7812,0,5859,0,10742,3906,0,0,18555,30273,0,977,1953,16602,23438,4883,0,3906,13672,4883
32,Quercus_Variabilis,19531,29297,80078,33203,25391,23438,9766,5859,0,9766,21484,11719,44922,1953,33203,0,5859,25391,0,11719,0,0,0,0,3906,29297,0,35156,23438,25391,0,0,5859,1953,11719,5859,33203,50781,42969,19531,9766,9766,5859,15625,9766,15625,9766,9766,7812,0,19531,0,39062,39062,3906,0,13672,13672,54688,5859,1953,0,33203,0,66893,69092,69462,63484,5978,63898,72909,79748,86573,92834,9845,10882,11763,10624,10225,92435,88555,79074,70658,64095,56206,57415,55522,6192,69302,70741,71751,63808,53172,42389,34015,42586,54457,60724,70689,69154,59757,58811,66517,75371,81145,834,92864,93627,96554,95798,95766,90871,81277,85068,88577,79722,67419,54559,51363,62242,67584,63641,53477,44595,37711,43399,5368,64858,36133,26367,17578,9766,41016,0,74219,30273,11719,293,0,0,0,0,0,0,23438,5859,4883,19531,0,0,27344,0,5859,0,14648,10742,5859,977,7812,0,0,56641,3906,0,0,14258,19531,7812,0,0,17578,8789,20508,87891,2832,10352,0,3906,0,0,977,3906,21484,0,57617,0,293,0,0,0,0,35156
